id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,cluster_id,dist_to_cluster_centroid_m,competitor_density_500m,competitor_density_1km,same_category_density_500m,nearest_neighbor_dist_m,rating,review_log,price_level
181,PT CAN TEKNIKTAMA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1388412,104.0472753,394001.48146549927,125893.8536854255,2,505.6450644062884,5,23,4,51.782278865988935,0.0,0.0,0
183,PT SANIKUSUMO SELARAS,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1465933,104.0373271,392894.84470668994,126751.1865252616,-1,0.0,4,10,0,223.7323290903134,0.0,0.0,0
189,PT BERJAYA SUKSES PERKASA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1412129,104.0401103,393204.3284842827,126156.30034386314,-1,0.0,1,24,0,487.97986610241105,0.0,0.0,0
194,PT  LAKKU CORP INDONESIA,exporter,Company,Indonesia.Batam.PT.202408042212.db,places,1.1529065,104.0269933,391745.25301784836,127449.47756304122,0,1187.8566154567168,10,32,0,226.46037007995542,5.0,2.0794415416798357,0
197,Bengkong harapan 1 Block E No 45,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1503789,104.0257595,391607.8741373721,127170.10699644279,0,965.3005171170446,13,42,8,182.04960835391964,4.6,2.302585092994046,0
210,PT RYBEL CAHAYA SEMPURNA,property investment,Company,Indonesia.Batam.PT.202408042212.db,places,0.837166,104.053115,394641.7521034941,92544.78357119006,-1,0.0,8,8,0,0.0,0.0,0.0,0
211,MESS B RIGHT PLN BATAM,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1460976,104.0265845,391699.5097941453,126696.79276799217,0,1061.1322660352648,11,52,7,8.965278240010937,0.0,0.0,0
213,Harapan Putri Nusantara  PT,government office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1402652,104.0128422,390170.192966484,126052.56182196505,0,1024.633737901461,12,66,0,164.31558224668345,0.0,0.0,0
215,Batam,housing society,Company,Indonesia.Batam.PT.202408042212.db,places,1.1546779,104.0304165,392126.21466122754,127645.16955525779,0,1615.9065110243457,5,24,0,59.592675217949235,5.0,0.6931471805599453,0
217,Bengkong,housing complex,Company,Indonesia.Batam.PT.202408042212.db,places,1.1505535,104.038739,393052.09209337854,127188.91857096426,-1,0.0,4,9,0,263.3532983845116,0.0,0.0,0
219,PT  Adira Dinamika Multi Finance Cab  Batam,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1386217,104.0254332,391571.1254882771,125870.40120110316,0,1405.5734166004631,24,66,15,22.82419272969825,0.0,0.0,0
221,PT  KRISTAL JAYA RAYA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1727983,104.027721,391826.98062081647,129648.419042606,-1,0.0,0,7,0,890.1629372519781,0.0,0.0,0
222,Pt  Putra Perkasa Harapan Jaya,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.0898026,103.9090015,378613.61545598647,120478.06016070682,-1,0.0,0,2,0,847.4552601058206,3.1,2.1972245773362196,0
223,PT Nollin Tiga Berlian,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1683552,104.0174895,390688.3690426864,129157.64582737765,0,2209.875741490386,30,62,14,152.2612825215894,5.0,0.6931471805599453,0
225,Ali Jaya Bengkong,electronics wholesaler,Company,Indonesia.Batam.PT.202408042212.db,places,1.1603305,104.0355807,392701.03973171295,128269.84784973273,-1,0.0,3,14,0,64.78625313979805,0.0,0.0,0
226,Batam,housing complex,Company,Indonesia.Batam.PT.202408042212.db,places,1.1384993,104.0302282,392104.65699156246,125856.69041080361,0,1803.6566027267972,10,53,0,203.442475312785,0.0,0.0,0
227,PT Harapan Mulia Interior,furniture manufacturer,Company,Indonesia.Batam.PT.202408042212.db,places,1.0564864,103.9124337,378994.2246742347,116794.80045093657,-1,0.0,0,2,0,864.007656573576,5.0,0.6931471805599453,0
228,Batam,general store,Company,Indonesia.Batam.PT.202408042212.db,places,1.1467911,104.0259995,391634.4434991734,126773.4789342272,0,981.5509740305973,10,51,0,100.57032779701025,0.0,0.0,0
230,Bengkong,housing development,Company,Indonesia.Batam.PT.202408042212.db,places,1.1433239,104.0362587,392775.84379668854,126389.8067082703,-1,0.0,2,16,0,380.46890636400315,0.0,0.0,0
233,PT Acces Media Solusi,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1466781,104.0447877,393724.9776639388,126760.2827762747,-1,0.0,0,8,0,691.1460939158922,0.0,0.0,0
235,PT dias,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1468396,104.0090891,389752.8373431304,126779.48626599467,0,931.0209311779937,13,51,11,44.28857198347029,0.0,0.0,0
237,Isagenix Batam,wellness center,Company,Indonesia.Batam.PT.202408042212.db,places,1.149464,104.0243991,391456.46937771083,127069.0196151644,0,797.2232425809291,16,52,0,182.04960835391964,0.0,0.0,0
239,Jelajah Batam,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1499696,104.0274628,391797.3829298981,127124.79566014344,0,1142.658246075392,11,32,6,175.89492527043484,5.0,1.0986122886681098,0
241,pt pelita multi harapan,car repair and maintenance service,Company,Indonesia.Batam.PT.202408042212.db,places,1.1419602,104.0175663,390695.9057139816,126239.75889303761,0,708.6303392179947,25,70,0,94.97450503351526,0.0,0.0,0
242,PT putra Harapan utama,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1629153,104.0015599,388915.68983698747,128556.90392092813,0,2379.3678990076655,7,20,5,20.134938693488508,0.0,0.0,0
245,Graha Cipta Utama PT,employment agency,Company,Indonesia.Batam.PT.202408042212.db,places,1.1486169,104.0373606,392898.6474879099,126974.88653405724,-1,0.0,3,11,0,223.7323290903134,0.0,0.0,0
246,Komplek perumahan,housing complex,Company,Indonesia.Batam.PT.202408042212.db,places,1.1535914,104.0326494,392374.625262188,127524.9763154632,-1,0.0,3,21,0,224.5308416854919,0.0,0.0,0
250,PT Esun International Utama Indonesia,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1288795,103.9256772,380470.7716213397,124797.34494055637,-1,0.0,0,0,0,2555.7685250350564,5.0,1.0986122886681098,0
251,PT Selamat Mulia,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.1113704,103.9617729,384486.54586060665,122860.27724968683,12,576.6847000544358,5,21,3,40.48778516305101,5.0,1.3862943611198906,0
252,PT Jaya Abadi,fashion accessories store,Company,Indonesia.Batam.PT.202408042212.db,places,-2.44565,117.8888,1945181.7504626135,-277346.30088331114,-1,0.0,7,7,0,0.0,0.0,0.0,0
254,PT Plasmotech Batam,manufacturer,Company,Indonesia.Batam.PT.202408042212.db,places,1.1106242,104.0608057,395505.9834754338,122774.0996808315,3,897.6281326872814,11,46,0,123.28330509108673,4.4,3.8918202981106265,0
255,Kampung Harapan Swadaya Blok ag1 no 10 RT 01 RW 05 Sadai Bengkong kota Batam Sadai,condominium complex,Company,Indonesia.Batam.PT.202408042212.db,places,1.1363284,104.039463,393132.1242971846,125616.36190751832,2,500.263918691649,11,33,0,120.17895997431965,3.6,1.791759469228055,0
256,Seken,market,Company,Indonesia.Batam.PT.202408042212.db,places,1.1524444,104.0289761,391965.85916597524,127398.31872582447,0,1373.3305932002634,7,27,0,226.46037007995542,5.0,1.6094379124341003,0
257,PT Karya Raya Indomandiri,contractor,Company,Indonesia.Batam.PT.202408042212.db,places,-2.44565,117.8888,1945181.7504626135,-277346.30088331114,-1,0.0,7,7,0,0.0,0.0,0.0,0
260,PT  Fluid Sciences Batam,manufacturer,Company,Indonesia.Batam.PT.202408042212.db,places,1.0704838,104.0193594,390892.8117860258,118338.20717899565,-1,0.0,4,10,1,106.94244800172577,4.7,3.367295829986474,0
264,PT  Graha Saenab,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.0445663,103.9800476,386517.5388816015,115474.50510688235,-1,0.0,6,11,5,173.0664794372372,0.0,0.0,0
267,PT TAN INDO,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.037162,103.9243319,380317.4773895965,114658.02681516948,-1,0.0,2,6,2,185.190818133906,3.0,1.3862943611198906,0
268,PT  TITAN JAYA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.0558107,103.9306583,381022.15964448993,116719.3980613736,-1,0.0,4,7,2,260.59766129407524,5.0,0.6931471805599453,0
269,PT eka mitra,shipyard,Company,Indonesia.Batam.PT.202408042212.db,places,-2.44565,117.8888,1945181.7504626135,-277346.30088331114,-1,0.0,7,7,0,0.0,0.0,0.0,0
271,PT  ANUGERAH NIAGA PRATAMA,wholesaler,Company,Indonesia.Batam.PT.202408042212.db,places,0.837166,104.053115,394641.7521034941,92544.78357119006,-1,0.0,8,8,0,0.0,0.0,0.0,0
273,PT  AMNOR,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.0747394,103.9151877,379301.39018527314,118812.56911584166,-1,0.0,0,3,0,843.7946401743025,5.0,1.3862943611198906,0
274,PT Viking Airtech Offshore,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.057586,103.920121,379849.68046439847,116916.06306550938,-1,0.0,1,8,1,273.94579472432633,5.0,0.6931471805599453,0
275,Toko Cipta Abadi,building materials store,Company,Indonesia.Batam.PT.202408042212.db,places,1.146122,104.0112429,389992.46225125156,126700.074830324,0,720.023155218592,13,58,0,116.06294501811736,3.7,1.3862943611198906,0
276,PT Sumber Kita Sejahtera,egg supplier,Company,Indonesia.Batam.PT.202408042212.db,places,0.837166,104.053115,394641.7521034941,92544.78357119006,-1,0.0,8,8,0,0.0,0.0,0.0,0
277,PT  CIPTA BAHTERA RAYA,corporate office,Company,Indonesia.Batam.PT.202408042212.db,places,1.0657006,103.9166293,379461.452085512,117813.26999687117,-1,0.0,2,5,0,238.53435326912137,4.7,1.9459101490553132,0
